Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Gray Wagtail,Motacilla cinerea,asia,Teal,,"If you used all 4 types of action this round, gain 2 [wild] from the supply.",,,,3,Bowl,4,26,X,X,X,2,,,,,,,,,2,X,,,X,X,X,,,,,,,X,,,,,X,,,,,,X,,,,,X,It is important to keep action cubes in the left column of the action taken throughout each round.,392,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Great Blue Heron,Ardea herodias,originalcore,White,Other,Play a second bird in your [wetland]. Pay its normal cost.,,,,5,Platform,2,183,,,X,1,,1,,,,,,,2,,,,X,,,,,,,,X,,,X,,,,X,,,,X,,,X,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",132,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Great Cormorant,Phalacrocorax carbo,asia,Brown,,"You may move 1 [fish] from this bird to your supply. Then, roll any 2 [die]. If any one [fish], cache 1 [fish] on this bird from the supply.",X,,,6,Platform,2,145,,,X,,,2,,,,,,,2,,,,,,,,,,,X,X,,,X,,,,X,,,,X,,,X,,,X,,393,,,,,,,,,,,,,,,,,,,,,,
Great Crested Flycatcher,Myiarchus crinitus,originalcore,Brown,Food from Birdfeeder,"Gain 1 [invertebrate] from the birdfeeder, if there is one.",,,,5,Cavity,3,33,X,,,1,,,1,,,,,,2,X,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,X,,133,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543,,,,,,,,,,,,,,,,
Great Crested Grebe,Podiceps cristatus,european,Brown,Card-drawing,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",,,,3,Wild,2,65,,,X,,,2,,,,,,,2,X,,,,X,,,,,X,,X,,,,X,,,X,,,,X,X,,X,,X,,"These cards should be kept separate from the other cards you draw and your bird cards in hand. They cannot be spent during this turn. But to keep the game moving, you can sort through them at the end of your turn and let the next player start their turn.",134,"You may perform an action even if it precludes you from performing an action required at the end of your turn (e.g., discarding a [card] from your hand at the end of a turn in which you activated the <strong applink=""/card/31"">Black Tern</strong>'s power).",https://www.facebook.com/groups/wingspanboardgame/permalink/397335327636742/?comment_id=397350010968607,"If you perform more than one action <i>""at the end of your turn""</i>, you may perform those actions in any order.",https://www.facebook.com/groups/wingspanboardgame/permalink/414814145888860/?comment_id=415023839201224&reply_comment_id=415302489173359,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Great Egret,Ardea alba,originalcore,White,Other,Play a second bird in your [wetland]. Pay its normal cost.,,,,7,Platform,3,130,,,X,,,2,,1,,,,,3,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,,,,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",135,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Great Hornbill,Buceros bicornis,asia,Brown,,All players may tuck a [card] from their hand under a bird in their [forest] and/or cache 1 [fruit] from their supply on a bird in their [forest].,,X,,9,Cavity,2,160,X,,,1,,,2,,,,,,3,X,,,,,,X,,X,,,,,X,X,X,,,,,,X,,,,X,,,X,,394,,,,,,,,,,,,,,,,,,,,,,
Great Horned Owl,Bubo virginianus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <100cm, tuck it behind this bird. If not, discard it.",X,,,8,Platform,2,112,X,,,,,,,3,,,,,3,,,,,,,,,X,,X,,,X,X,,,,X,,X,,,,,X,,,X,"These birds eat other birds. Look at the wingspan of the top card of the deck and compare it to their hunting power. <br>If the wingspan of the top card in the deck is less than the bird’s hunting power, tuck that card to signify that your predator hunted successfully. Each tucked card is worth 1 point at the end of the game. <br>If the wingspan of the top card is equal to or larger than your predator’s power, discard the card instead.",136,,,,,,,,,,,,,,,,,,,,,,
Great Indian Bustard,Ardeotis nigriceps,asia,White,,Score 1 of your bonus cards now by caching 1 [seed] from the supply on this bird for each point. Also score it normally at game end.,,,X,6,Ground,1,230,,X,,,2,,,,,1,,,3,,X,,,,,,X,X,X,,,,,X,,X,,,X,,,,,,X,X,,X,"These powers use cached food to record how many points a bonus card is worth at the time of activation. It is normal cached food for other purposes, such as the Pellet Dissector bonus card.",395,,,,,,,,,,,,,,,,,,,,,,
Great Spotted Woodpecker,Dentrocopos major,asia,Brown,,"Gain 1 [invertebrate] or [seed] from the birdfeeder, if there is one.",,,,6,Cavity,3,41,X,,,1,1,,1,,,,,,3,,,,,,,,X,X,,,,,X,,X,,,,,,X,,,,,,,X,"If all dice in the birdfeeder show the same face, you may reset it before gaining the [specified food type]. If the birdfeeder contains none of the [specified food type], you gain nothing.",396,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Great Tit,Parus major,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [die] from the birdfeeder after resetting.",,,,4,Cavity,6,24,X,,,1,1,,1,,,,,,3,,,,,,,,X,X,,,,,X,,X,,X,,,,X,,,,,,X,,,137,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Greater Adjutant,Leptoptilos dubius,asia,Yellow,,"Copy one bonus card of the player on your left, as if it were your own (score it based on your own birds).",,,X,4,Platform,2,261,,,X,,,1,,,,2,,,3,,,,,,,,,X,,,X,,,X,,X,,X,,,,X,,,X,X,,X,"If you are playing with bonus cards hidden from other players, when this power is activated, the player reveals to you their bonus cards. <br>In a 2-player game, the Greater Adjutant and the Indian Vulture may both copy the same bonus card.",397,,,,,,,,,,,,,,,,,,,,,,
Greater Flamingo,Phoenicopterus roseus,european,Brown,Flocking,"Choose 1 other player. For each action cube on their [wetland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",,X,,3,Ground,1,152,,,X,1,2,,,,,,,,3,,,,,X,,X,X,X,X,,,,,X,,,,,,,,X,,,X,,,X,You may tuck cards up to the number of action cubes.,138,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,This bird's power is brown despite its entry in the <i>European Expansion</i> rulebook appendix.,https://www.facebook.com/groups/wingspanboardgame/permalink/448650129171928/?comment_id=448787489158192,,,,,,,"Since this power is brown, when activating it in a game against the Automa the Automa always has zero action cubes in its [wetland].",https://www.boardgamegeek.com/thread/2331577/article/33966554#33966554,,,,,,,,
Greater Prairie Chicken,Tympanuchus cupido,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Ground,4,71,,X,,1,2,,,,,,,,3,,X,,,,,,X,X,X,,,,,X,,,,,X,,,,,,,X,,X,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",139,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"This bird counts toward the <strong applink=""/card/1007"">Cartographer</strong> bonus card. (In early printings that bonus card did list include the keyword <i>prairie</i>.)",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
Greater Roadrunner,Geococcyx californianus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <50cm, tuck it behind this bird. If not, discard it.",X,,,7,Platform,2,56,,X,,1,,,,1,,1,,,3,,,,,,,,,X,,X,,,,,,X,,X,X,X,,,,,X,,X,,"These birds eat other birds. Look at the wingspan of the top card of the deck and compare it to their hunting power. <br>If the wingspan of the top card in the deck is less than the bird’s hunting power, tuck that card to signify that your predator hunted successfully. Each tucked card is worth 1 point at the end of the game. <br>If the wingspan of the top card is equal to or larger than your predator’s power, discard the card instead.",140,,,,,,,,,,,,,,,,,,,,,,
Green Bee-Eater,Merops orientalis,asia,Brown,,"If there is at least 1 bird on the tray that has [invertebrate] in its food cost, tuck 1 of them behind this bird.",,X,,4,Wild,3,29,X,X,,3,,,,,,,,,3,,,,X,,X,X,,X,X,,,X,,,X,,X,X,,,,,X,,,,,X,,398,,,,,,,,,,,,,,,,,,,,,,
Green Heron,Butorides virescens,originalcore,Brown,Food from Supply,Trade 1 [wild] for any other [wild] from the supply.,,,,4,Platform,3,66,,,X,1,,1,,,,,X,,1,,,,X,,,,,,,,X,,,X,,,,X,,,,X,,,,,,X,,141,,,,,"<i>""Trading""</i> counts as <i>""spending""</i>.",https://www.facebook.com/groups/wingspanboardgame/?post_id=589893495047590&comment_id=589910088379264,,,,,,,You may not use this bird's power to trade a food token for a food token of the same type.,https://www.facebook.com/groups/wingspanboardgame/?post_id=591878014849138&comment_id=591932641510342&reply_comment_id=594264341277172,,,,,,,,
Green Pheasant,Phasianus colchicus versicolor,asia,Brown,,All players lay 1 [egg].,,,,7,Ground,5,80,,X,X,1,1,,1,,,,,,3,,,,X,,X,,X,X,X,,,,,X,,,,,,,X,,,,,,X,,You may lay the [egg] on any bird.,399,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Green Pygmy-Goose,Nettapus pulchellus,oceania,Brown,Food-related,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,,,,4,Cavity,4,54,,,X,,2,,,,,,,,2,,,,X,,,,X,,,,,,,,X,,,,,,,X,,,,,X,,,290,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Grey Butcherbird,Cracticus torquatus,oceania,Brown,Hunting and fishing,"Look at a [card] from the deck. If its wingspan is less than 40cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.",X,,,5,Bowl,2,40,X,X,X,1,,,,1,,1,,,3,,,,X,,X,,,X,,X,,,,,,X,,,,X,,,X,,X,,,X,,291,,,,,,,,,,,,,,,,,,,,,,
Grey Heron,Ardea cinerea,european,White,Other,"Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost.",,,,3,Platform,2,185,,,X,,,2,,,,,,,2,,,,X,X,,,,,,,X,,,X,,,,X,,,,X,,,X,,,X,"These birds still count as just 1 bird for round-end goals that count birds. But both spaces are filled, so they can count twice toward the “completed columns” round-end goal. <br>These birds can still be played like any other bird in the 5th column, forgoing their power. <br>The next bird you play in this habitat is placed to the right of this bird.",142,A bird played horizontally qualifies for one of <strong>Beak pointing left/right</strong> end-of-round goals if and only if it would count were the card played in its vertical orientation.,https://www.facebook.com/groups/wingspanboardgame/permalink/723516585018613/?comment_id=723543355015936,,,"If a bird (e.g., <strong applink=""/card/78"">Common Buzzard</strong>) is played on top of this one, the top bird is also placed horizontally and occupies both columns.",https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/,,,,,,,,,,,,,,,,
Grey Shrikethrush,Colluricincla harmonica,oceania,Brown,Egg-laying,"Reset the birdfeeder and gain all [rodent], if there are any. You may cache any or all of them on this bird.",X,,,2,Bowl,3,26,X,,,1,,,,1,,,X,,1,,,,X,X,,,,,,X,,,X,,,,X,,,X,,,X,,,,X,,"Remove the dice from the birdfeeder when you gain the food, as you would normally.",292,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Grey Teal,Anas gracilis,oceania,Brown,Other,"Look at 3 [card] from the deck. Keep 1 [wetland] bird, if there is one. You may add it to your hand or tuck it behind this bird. Discard the other cards.",,X,,2,Ground,5,64,,,X,1,1,,,,,,,,2,,,,X,X,,X,X,,X,,,,,,,,,,,,,X,,,,,X,,,293,,,,,,,,,,,,,,,,,,,,,,
Grey Warbler,Gerygone igata,oceania,White,,Play another bird in your [forest]. Pay its normal cost with a 1 [egg] discount.,,,,1,Wild,3,16,X,,,1,1,,1,,,,X,,1,,,,X,X,,,X,,X,,,,X,,X,,X,X,,,X,,X,,,,,X,,294,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,,,,,,,,,,,,,,,,,,
Grey-Headed Mannikin,Lonchura caniceps,oceania,Yellow,Hunting and fishing,"Play a bird. Pay its normal food cost, but ignore 1 [egg] in its egg cost. If it has a ""when played"" or ""game end"" power, you may use it.",,,,2,Wild,3,15,,X,,,1,,,,,,,,1,X,,,X,X,,,X,,X,,,,,,X,,X,X,X,,,,X,,,,,X,"As usual, you cannot activate other types of bird powers (such as “round end” powers) when you play a bird with this action.<br><br>You will have already discarded nectar when the Grey-Headed Mannikin is activated, so if you want to use it to play a bird with a nectar cost, you will need to use the 2:1 food conversion to obtain the nectar.",295,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,,,,,,,,,,,,,,,,,,
Greylag Goose,Anser anser,european,Teal,Other,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",,,,7,Ground,2,164,,,X,,3,,,,,,,,3,,,,X,,,,X,X,X,,,,,X,,,,,,,,X,,,X,,X,,"These birds are doubled only for end-of-round goals, not bonus cards or points at the end of the game. <br>Eggs on these cards are not doubled, if the goal is counting the number of eggs.",143,"Only powers of birds played on a player mat can be used. In particular, birds with the power <i>""This bird counts double toward the end-of-round goal, if it qualifies for the goal."" (e.g., <strong applink=""/card/69"">Cetti's Warbler</strong>) does not count double toward the <strong>[card] in hand</strong> end-of-round goal.",https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/,This bird counts double for <strong>Beak pointing left/right</strong> if it qualifies for the goal.,https://www.facebook.com/groups/wingspanboardgame/permalink/744575159579422/,"This bird counts double toward precisely the end-of-round bonuses that count birds, not those that count other quantities. When in your hand this card does not count toward end-of-round bonuses.",https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183,,,,,,,,,,,,,,,,
Griffon Vulture,Gyps fulvus,european,Teal,Food-related,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,,,,1,Platform,1,252,,X,,,,,,,,,,,0,,,,,X,,,,,,,,,,X,,,,X,X,,,,,,X,,X,,,144,,,,,,,,,,,,,,,,,,,,,,
Hawfinch,Coccothraustes coccothraustes,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting.",,,,4,Bowl,2,30,X,,,,2,,,,,,,,2,,,,,,,,X,,,,,,X,,,,X,,,,,,X,,X,,X,,"If the specified food type is not in the birdfeeder after the reset, you gain nothing.",145,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Hermit Thrush,Catharus guttatus,originalcore,Brown,Food from Birdfeeder,Player(s) with fewest [forest] birds gain 1 [die] from birdfeeder.,,,,7,Wild,2,30,X,,,1,,,2,,,,,,3,,,,,,,,,X,X,,,,X,,X,,X,X,,,X,,X,,X,,,X,"If multiple players are tied for fewest birds in the forest, they all use this power. You choose who goes first, and players proceed in turn order.",146,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Himalayan Monal,Lophophorus impejanus,asia,Brown,,All players gain 1 [seed] from the supply. You also lay 1 [egg].,,,,5,Ground,2,33,X,X,,1,1,,1,,,,,,3,,X,,,,X,,X,X,X,,,,,,,,,,,,X,,,,X,,,X,The egg may be laid on any bird under its egg limit.,400,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Hooded Crow,Corvus cornix,european,Teal,Flocking,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",,X,,3,Platform,2,99,,X,X,1,,,,,,2,,,3,,,,,X,X,X,,X,,,,,,X,,X,,X,,,,,,,X,,X,,You may tuck cards up to the number of action cubes.,147,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,,,,,,,,,,
Hooded Merganser,Lophodytes cucullatus,originalcore,Brown,Other,Repeat 1 [predator] power in this habitat.,,,,5,Cavity,4,61,,,X,1,,1,,,,,,,2,,,,,,,,,,,,X,,,,X,,,,,,,X,,,,,X,,,148,,,,,"This bird's power activates another bird's brown power, and it may activate a bird's power regardless of whether that bird is to the left or right of this bird.",https://www.boardgamegeek.com/thread/2139859/article/31096068#31096068,,,,,,,"This bird cannot copy the power of a bird with a <i>""copy""</i> power that is not a predator power, even if that bird copied a predator power earlier in the turn.",https://www.facebook.com/groups/wingspanboardgame/permalink/714240602612878/?comment_id=714367625933509&reply_comment_id=715341599169445,,,,,,,,
Hooded Warbler,Setophaga citrina,originalcore,,,,,,,7,Bowl,3,18,X,,,2,,,,,,,,,2,,,,,,,,,,,,,X,X,,,,X,,,,,,X,,,,,X,,149,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Eremophila alpestris,originalcore,Pink,Flocking,"When another player plays a [grassland] bird, tuck 1 [card] from your hand behind this bird.",,X,,5,Ground,4,30,,X,,1,1,,,,,,,,2,,,,,,,X,X,,X,,,,,,,,X,,X,,,,,,,,,,This is specifically referring to birds played into the grassland habitat.,150,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,,,,,,,,,,,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,oceania,Pink,Card-drawing,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a wingspan less than 30cm.",,,,2,None,0,29,X,X,X,1,,,,,,,,,1,,,X,X,X,X,,,,,,,X,,,,,X,,,,,,,,X,,X,,,296,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,
Horsfield's Bushlark,Mirafra javanica,oceania,Brown,Food-related,"Discard 1 [seed]. If you do, lay up to 2 [egg] on this bird.",,,,2,Ground,2,12,,X,,1,1,,,,,,,,2,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,,,X,,X,,,297,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
House Crow,Corvus splendens,asia,Teal,,You may cache 1 [wild] from your supply on each bird in this row.,,,,3,Platform,3,81,X,X,X,,,,,,,1,,,1,,,,,X,X,,,,,,,,,X,,X,,X,,,,,,,,,X,,"For these powers, the birds that you cache food on do not need to have a caching power themselves. <br><br>The number of caches allowed by the card (such as “each bird in this row”) is a maximum: you may cache less than this amount.",401,,,,,,,,,,,,,,,,,,,,,,
House Finch,Haemorhous mexicanus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Bowl,6,25,X,X,X,,1,,1,,,,,,2,,,,,X,X,X,X,,,,,,,,,,X,,,,X,,X,,,,X,,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",151,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
House Sparrow,Passer domesticus,european,Teal,Flocking,"Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,6,Cavity,5,22,,X,,,1,,1,,,,,,2,,,,,,,X,X,,,,,,,,X,,X,,X,,X,,,,,,,X,,152,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,You can spend the unused nectar from your personal supply as blue powers are activated before nectar is discarded.,https://www.facebook.com/groups/wingspanboardgame/permalink/706763200027285/?comment_id=706763420027263&reply_comment_id=706764750027130,,,,,,,,
House Wren,Troglodytes aedon,originalcore,White,Other,Play a second bird in your [grassland] or [forest]. Pay its normal cost.,,,,1,Cavity,5,15,X,X,,1,,,,,,,,,1,,,,,X,X,,,,,,,X,,,X,,X,,,,,,,,,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",153,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"When using this bird's power, the additional bird must be played in the same habitat as this bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-30838,,,,,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,
Ibisbill,Ibidorhyncha struthersii,asia,White,,All players draw 1 [card] from the deck and gain 1 [invertebrate] from the supply. You draw 1 additonal [card] from the deck.,,,,8,Ground,2,74,,,X,2,,1,,,,,,,3,X,,,,,,,,X,X,,X,,,X,,,,,,,,X,,,X,,X,,,402,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
